Tue Mar 19 16:49:36 2024,0,190,[Range],29.500,-2.600,-33.840,1.440,1,b4w,73.000
Tue Mar 19 16:50:14 2024,0,197,[Range],29.600,-3.700,-58.680,0.000,1,b4w,0.000
Tue Mar 19 16:50:16 2024,0,195,[Range],29.500,-2.100,-64.800,0.720,1,b4w,77.000
Tue Mar 19 16:50:30 2024,0,199,[Range],29.800,-3.800,-40.320,0.360,1,b4w,2.000
Tue Mar 19 16:51:05 2024,0,198,[Range],29.600,-2.400,-53.280,0.360,1,b4w,62.000
Tue Mar 19 16:51:11 2024,0,201,[Range],29.500,-2.300,-70.920,0.360,1,b4w,8.000
Tue Mar 19 16:51:14 2024,0,200,[Range],29.600,0.200,-50.760,0.720,1,b4w,20.000
Tue Mar 19 16:51:20 2024,0,202,[Range],29.400,-0.300,-69.120,0.000,1,b4w,22.000
Tue Mar 19 16:51:23 2024,0,208,[Range],29.400,-2.700,-68.400,3.240,1,b4w,6.000
Tue Mar 19 16:51:46 2024,0,204,[Range],29.500,-2.200,-51.480,0.360,1,b4w,20.000
Tue Mar 19 16:52:39 2024,0,210,[Range],29.800,-2.200,-35.280,1.800,1,b4w,22.000
Tue Mar 19 16:52:59 2024,0,209,[Range],29.400,-4.100,-55.440,0.000,1,b4w,0.000
Tue Mar 19 16:53:05 2024,0,206,[Range],29.800,-0.100,-66.960,-0.360,1,b4w,207.000
Tue Mar 19 16:53:15 2024,0,220,[Range],29.400,-4.000,-44.640,0.000,1,b4w,2.000
Tue Mar 19 16:54:19 2024,0,224,[Range],29.500,-2.500,-45.000,1.080,1,b4w,46.000
Tue Mar 19 16:55:31 2024,0,226,[Range],29.300,0.500,-78.480,0.000,0,b4w,6.000
Tue Mar 19 16:56:02 2024,0,225,[Range],29.700,-4.700,-25.200,0.000,1,b4w,35.000
Tue Mar 19 16:56:38 2024,0,227,[Range],29.800,-3.900,-46.440,0.000,1,b4w,3.000
Tue Mar 19 16:57:05 2024,0,229,[Range],29.900,-3.900,-48.600,0.000,1,b4w,1.000
Tue Mar 19 16:57:10 2024,0,214,[Range],29.300,-3.200,-73.440,0.000,1,b4w,8.000
Tue Mar 19 16:57:37 2024,0,232,[Range],29.900,-2.500,-51.480,1.800,1,b4w,90.000
Tue Mar 19 16:57:50 2024,0,228,[Range],29.700,0.400,-74.160,-0.360,1,b4w,5.000
Tue Mar 19 16:57:57 2024,0,233,[Range],29.200,-2.200,-75.960,0.000,1,b4w,4.000
Tue Mar 19 16:58:33 2024,0,234,[Range],29.500,0.400,-63.720,-0.360,1,b4w,7.000
Tue Mar 19 16:58:43 2024,0,231,[Range],29.700,-2.900,-78.480,0.000,1,b4w,6.000
Tue Mar 19 16:58:59 2024,0,237,[Range],29.600,-0.100,-51.840,0.000,1,b4w,23.000
