time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Tue Mar 19 17:58:35 2024,0,59,[Range],49.700,-4.100,-24.120,0.000,1,b4w,0.000
Tue Mar 19 17:58:37 2024,0,66,[Range],49.500,1.600,-57.240,-2.880,0,b4w,25.000
Tue Mar 19 17:59:15 2024,0,64,[Range],49.400,-1.100,-44.280,-0.720,1,b4w,77.000
Tue Mar 19 17:59:24 2024,0,71,[Range],49.900,-1.600,-46.800,-1.440,1,b4w,5.000
Tue Mar 19 17:59:29 2024,0,70,[Range],49.100,-0.500,-78.840,0.360,1,b4w,16.000
Tue Mar 19 17:59:31 2024,0,73,[Range],49.500,1.000,-83.520,-3.600,0,b4w,39.000
