time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Wed Mar 20 13:43:17 2024,0,18,[Range],49.800,-1.800,-25.920,0.000,1,b4w,24.000
Wed Mar 20 13:44:17 2024,0,23,[Range],49.600,-1.300,-62.640,-2.160,1,b4w,32.000
Wed Mar 20 13:44:35 2024,0,21,[Range],49.900,2.400,-101.160,0.000,0,b4w,7.000
Wed Mar 20 13:44:35 2024,0,24,[Range],49.300,-1.700,-70.560,-2.160,1,b4w,51.000
Wed Mar 20 13:45:05 2024,0,22,[Range],48.600,-1.600,-102.600,-1.080,1,b4w,7.000
Wed Mar 20 13:45:25 2024,0,19,[Range],49.400,-1.000,-100.800,-2.520,1,b4w,6.000
Wed Mar 20 13:45:26 2024,0,28,[Range],49.200,1.600,-51.480,-3.240,0,b4w,22.000
