time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Wed Apr  3 22:05:20 2024,0,56,[Range],59.800,-0.500,-43.200,-0.720,1,b4w,32.000
Wed Apr  3 22:05:22 2024,0,56,[Range],39.900,-1.100,-42.480,-0.720,1,b4w,49.000
Wed Apr  3 22:05:50 2024,0,97,[Range],59.500,-0.500,-101.160,0.000,1,b4w,5.000
Wed Apr  3 22:05:50 2024,0,97,[Range],39.800,-0.700,-101.160,0.000,1,b4w,6.000
Wed Apr  3 22:06:18 2024,0,100,[Range],59.500,1.900,-58.680,-2.160,0,b4w,69.000
Wed Apr  3 22:06:19 2024,0,95,[Range],59.200,3.300,-59.040,0.000,0,b4w,2.000
Wed Apr  3 22:06:19 2024,0,100,[Range],39.300,1.500,-59.040,-1.080,0,b4w,72.000
Wed Apr  3 22:06:36 2024,0,126,[Range],39.900,-1.100,-55.800,0.000,1,b4w,6.000
Wed Apr  3 22:07:20 2024,0,106,[Range],59.200,-0.400,-85.680,-2.880,1,b4w,8.000
Wed Apr  3 22:07:21 2024,0,106,[Range],39.200,-0.900,-85.680,-2.520,1,b4w,8.000
Wed Apr  3 22:07:43 2024,0,98,[Range],59.700,1.800,-66.240,-3.600,0,b4w,23.000
Wed Apr  3 22:07:44 2024,0,98,[Range],39.700,1.200,-66.240,-2.520,0,b4w,25.000
Wed Apr  3 22:07:53 2024,0,103,[Range],59.700,3.000,-90.720,-0.720,0,b4w,10.000
Wed Apr  3 22:07:53 2024,0,88,[Range],39.700,1.900,-91.800,0.000,0,b4w,22.000
Wed Apr  3 22:08:07 2024,0,107,[Range],59.400,-1.600,-45.360,-0.720,1,b4w,28.000
Wed Apr  3 22:08:08 2024,0,112,[Range],59.400,-2.400,-45.360,0.000,1,b4w,2.000
Wed Apr  3 22:08:09 2024,0,107,[Range],39.400,-1.500,-45.360,0.000,1,b4w,63.000
Wed Apr  3 22:09:17 2024,0,91,[Range],59.500,-2.300,-47.160,0.000,1,b4w,1.000
Wed Apr  3 22:09:19 2024,0,91,[Range],39.800,-2.700,-47.520,0.000,1,b4w,1.000
Wed Apr  3 22:09:28 2024,0,99,[Range],59.600,-0.800,-28.800,0.000,1,b4w,24.000
Wed Apr  3 22:09:30 2024,0,99,[Range],39.800,-1.300,-28.080,-0.360,1,b4w,47.000
Wed Apr  3 22:10:10 2024,0,101,[Range],59.700,-2.200,-57.960,0.000,1,b4w,2.000
Wed Apr  3 22:10:11 2024,0,101,[Range],39.600,-2.900,-57.960,-0.360,1,b4w,7.000
Wed Apr  3 22:10:13 2024,0,114,[Range],39.200,-1.500,-63.360,-0.720,1,b4w,8.000
Wed Apr  3 22:11:14 2024,0,73,[Range],59.900,-0.900,-94.320,-1.080,1,b4w,6.000
Wed Apr  3 22:11:15 2024,0,73,[Range],39.100,-1.500,-93.240,-2.160,1,b4w,6.000
Wed Apr  3 22:11:41 2024,0,113,[Range],58.700,1.400,-128.520,-0.720,0,b4w,6.000
Wed Apr  3 22:11:42 2024,0,113,[Range],39.100,0.600,-128.520,-2.520,0,b4w,15.000
Wed Apr  3 22:11:58 2024,0,109,[Range],58.600,1.700,-108.360,-0.720,0,b4w,5.000
Wed Apr  3 22:11:58 2024,0,109,[Range],39.100,1.100,-109.440,-1.440,0,b4w,23.000
