time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Wed Apr  3 22:02:34 2024,0,48,[Range],59.200,1.700,-59.040,-2.520,0,b4w,21.000
Wed Apr  3 22:02:34 2024,0,76,[Range],59.700,2.700,-60.480,0.000,0,b4w,0.000
Wed Apr  3 22:02:35 2024,0,48,[Range],39.800,1.200,-59.040,-1.800,0,b4w,20.000
Wed Apr  3 22:02:46 2024,0,57,[Range],59.700,1.700,-72.720,-4.320,0,b4w,28.000
Wed Apr  3 22:02:47 2024,0,57,[Range],39.600,1.500,-73.080,-1.800,0,b4w,28.000
Wed Apr  3 22:02:53 2024,0,82,[Range],59.700,-1.300,-41.400,-1.080,1,b4w,45.000
Wed Apr  3 22:02:54 2024,0,81,[Range],59.600,2.300,-68.400,-1.440,0,b4w,27.000
Wed Apr  3 22:02:54 2024,0,104,[Range],59.900,2.500,-69.840,0.000,0,b4w,3.000
Wed Apr  3 22:02:55 2024,0,82,[Range],39.700,-1.700,-41.400,0.000,1,b4w,50.000
Wed Apr  3 22:03:08 2024,0,83,[Range],59.600,1.500,-53.280,-1.800,0,b4w,25.000
Wed Apr  3 22:03:09 2024,0,83,[Range],39.800,1.200,-54.000,-0.720,0,b4w,24.000
Wed Apr  3 22:03:12 2024,0,84,[Range],59.500,-0.900,-45.000,-0.360,1,b4w,24.000
Wed Apr  3 22:03:14 2024,0,84,[Range],39.700,-1.500,-45.000,-2.160,1,b4w,24.000
