time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Fri Mar 22 22:32:59 2024,0,26,[Range],69.500,2.200,-54.720,-3.600,0,b4w,24.000
Fri Mar 22 22:33:41 2024,0,12,[Range],69.400,0.600,-115.560,0.000,0,b4w,5.000
Fri Mar 22 22:33:55 2024,0,22,[Range],69.700,1.400,-79.920,-2.880,0,b4w,82.000
Fri Mar 22 22:34:19 2024,0,38,[Range],69.900,1.200,-98.280,-0.720,0,b4w,6.000
Fri Mar 22 22:34:29 2024,0,37,[Range],69.600,-0.500,-46.800,0.000,1,b4w,3.000
Fri Mar 22 22:34:34 2024,0,16,[Range],69.800,-0.800,-51.480,-2.880,1,b4w,43.000
Fri Mar 22 22:35:01 2024,0,28,[Range],69.500,-0.700,-64.080,-3.600,1,b4w,22.000
