time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Tue Mar 19 18:03:36 2024,0,105,[Range],48.900,0.500,-91.080,-1.800,0,b4w,7.000
Tue Mar 19 18:04:02 2024,0,94,[Range],49.700,-2.400,-70.920,-0.720,1,b4w,7.000
Tue Mar 19 18:04:11 2024,0,112,[Range],49.500,-3.900,-54.000,0.000,1,b4w,1.000
Tue Mar 19 18:04:12 2024,0,101,[Range],49.500,1.600,-45.360,-1.080,0,b4w,29.000
Tue Mar 19 18:04:30 2024,0,104,[Range],49.600,-4.100,-33.480,0.000,1,b4w,4.000
Tue Mar 19 18:04:46 2024,0,116,[Range],49.400,1.600,-69.840,-2.160,0,b4w,11.000
Tue Mar 19 18:05:07 2024,0,115,[Range],49.700,-2.300,-43.200,0.000,1,b4w,0.000
Tue Mar 19 18:05:59 2024,0,118,[Range],49.900,-2.800,-45.720,0.000,1,b4w,2.000
Tue Mar 19 18:06:12 2024,0,117,[Range],49.600,-1.300,-42.480,-1.080,1,b4w,35.000
Tue Mar 19 18:06:20 2024,0,114,[Range],49.800,1.800,-59.760,-2.520,0,b4w,21.000
Tue Mar 19 18:06:23 2024,0,124,[Range],49.600,-4.500,-41.760,0.000,1,b4w,1.000
Tue Mar 19 18:06:56 2024,0,126,[Range],49.800,-2.200,-50.760,-2.520,1,b4w,26.000
Tue Mar 19 18:07:06 2024,0,119,[Range],49.800,-2.300,-59.400,0.000,1,b4w,3.000
Tue Mar 19 18:07:41 2024,0,125,[Range],49.800,-2.700,-33.840,0.000,1,b4w,2.000
Tue Mar 19 18:07:51 2024,0,128,[Range],49.700,-3.800,-39.960,0.000,1,b4w,7.000
Tue Mar 19 18:07:52 2024,0,127,[Range],49.700,-0.300,-47.880,0.360,1,b4w,110.000
Tue Mar 19 18:07:52 2024,0,130,[Range],49.600,-1.400,-47.160,-2.520,1,b4w,18.000
Tue Mar 19 18:08:03 2024,0,129,[Range],49.600,1.900,-94.680,-3.600,0,b4w,6.000
Tue Mar 19 18:08:19 2024,0,137,[Range],49.700,-4.000,-41.040,0.000,1,b4w,2.000
Tue Mar 19 18:08:44 2024,0,131,[Range],49.600,-2.800,-40.680,0.000,1,b4w,3.000
Tue Mar 19 18:08:57 2024,0,135,[Range],49.700,0.900,-81.000,-2.160,0,b4w,22.000
Tue Mar 19 18:09:10 2024,0,138,[Range],49.200,-1.800,-59.760,0.000,1,b4w,3.000
Tue Mar 19 18:09:12 2024,0,134,[Range],49.400,-2.200,-51.480,0.360,1,b4w,2.000
Tue Mar 19 18:09:22 2024,0,140,[Range],49.000,-1.800,-70.200,-4.320,1,b4w,4.000
Tue Mar 19 18:09:24 2024,0,139,[Range],49.300,-1.500,-73.440,-3.960,1,b4w,8.000
