time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Sun Mar 24 18:47:00 2024,0,128,[Range],69.700,-3.600,-30.960,0.000,1,b4w,0.000
Sun Mar 24 18:47:04 2024,0,131,[Range],29.700,-4.700,-32.760,0.000,1,b4w,0.000
Sun Mar 24 18:47:04 2024,0,119,[Range],69.300,2.500,-75.240,-0.360,0,b4w,6.000
Sun Mar 24 18:47:06 2024,0,119,[Range],29.200,0.900,-73.800,-2.520,0,b4w,7.000
Sun Mar 24 18:47:19 2024,0,116,[Range],69.500,-1.100,-54.720,0.000,1,b4w,22.000
Sun Mar 24 18:47:22 2024,0,116,[Range],29.400,-1.200,-54.360,0.720,1,b4w,61.000
Sun Mar 24 18:47:24 2024,0,103,[Range],29.800,-4.100,-52.920,0.000,1,b4w,0.000
Sun Mar 24 18:47:25 2024,0,125,[Range],69.500,-3.600,-37.800,0.000,1,b4w,2.000
Sun Mar 24 18:47:29 2024,0,125,[Range],29.600,-4.000,-41.040,0.000,1,b4w,0.000
Sun Mar 24 18:47:40 2024,0,129,[Range],69.800,2.900,-96.840,0.000,0,b4w,6.000
Sun Mar 24 18:47:40 2024,0,104,[Range],69.700,-0.200,-75.960,-0.360,1,b4w,4.000
Sun Mar 24 18:47:41 2024,0,129,[Range],29.900,1.300,-95.760,-3.600,0,b4w,7.000
Sun Mar 24 18:47:42 2024,0,104,[Range],29.800,-1.200,-75.240,-1.440,1,b4w,4.000
Sun Mar 24 18:47:56 2024,0,139,[Range],69.000,-0.800,-83.160,-2.160,1,b4w,5.000
Sun Mar 24 18:47:58 2024,0,139,[Range],28.800,-1.500,-82.440,-1.080,1,b4w,6.000
Sun Mar 24 18:48:05 2024,0,138,[Range],69.200,3.000,-61.200,-0.720,0,b4w,35.000
Sun Mar 24 18:48:08 2024,0,138,[Range],29.100,1.300,-60.480,-2.160,0,b4w,28.000
Sun Mar 24 18:48:09 2024,0,144,[Range],69.900,-0.900,-49.320,0.000,1,b4w,7.000
Sun Mar 24 18:48:12 2024,0,144,[Range],29.800,-1.500,-50.040,-0.720,1,b4w,4.000
Sun Mar 24 18:48:41 2024,0,150,[Range],69.800,3.100,-95.400,-0.360,0,b4w,8.000
Sun Mar 24 18:48:42 2024,0,150,[Range],29.600,0.900,-91.800,-3.960,0,b4w,12.000
