time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Wed Apr  3 21:53:45 2024,0,11,[Range],59.900,-1.300,-54.000,-3.600,1,b4w,22.000
Wed Apr  3 21:53:46 2024,0,11,[Range],39.800,-1.700,-54.000,-1.440,1,b4w,24.000
Wed Apr  3 21:54:13 2024,0,8,[Range],59.700,-0.600,-67.680,-3.240,1,b4w,6.000
Wed Apr  3 21:54:14 2024,0,8,[Range],39.100,-1.400,-67.680,-3.240,1,b4w,6.000
Wed Apr  3 21:54:16 2024,0,18,[Range],39.100,1.700,-94.320,-2.880,0,b4w,5.000
Wed Apr  3 21:54:45 2024,0,35,[Range],58.800,1.900,-91.440,-0.720,0,b4w,8.000
Wed Apr  3 21:54:46 2024,0,35,[Range],39.900,1.100,-91.080,-2.880,0,b4w,10.000
Wed Apr  3 21:54:53 2024,0,45,[Range],59.800,-1.100,-48.600,0.000,1,b4w,36.000
Wed Apr  3 21:54:54 2024,0,31,[Range],59.700,-0.500,-48.240,-2.160,1,b4w,1.000
Wed Apr  3 21:54:54 2024,0,45,[Range],39.900,-1.800,-48.240,-1.800,1,b4w,108.000
Wed Apr  3 21:54:55 2024,0,31,[Range],39.800,-1.400,-48.240,-2.520,1,b4w,3.000
Wed Apr  3 21:55:31 2024,0,9,[Range],59.700,-3.900,-39.960,-0.360,1,b4w,3.000
Wed Apr  3 21:55:32 2024,0,33,[Range],59.100,0.600,-82.080,0.000,0,b4w,6.000
Wed Apr  3 21:55:32 2024,0,33,[Range],39.500,0.000,-83.520,-1.440,1,b4w,7.000
Wed Apr  3 21:56:02 2024,0,24,[Range],59.500,-1.100,-62.280,-1.440,1,b4w,25.000
Wed Apr  3 21:56:03 2024,0,24,[Range],39.200,-1.600,-61.560,-1.440,1,b4w,38.000
Wed Apr  3 21:56:05 2024,0,23,[Range],39.500,1.200,-55.080,-1.440,0,b4w,51.000
Wed Apr  3 21:56:53 2024,0,29,[Range],59.600,0.300,-64.080,-0.360,1,b4w,84.000
Wed Apr  3 21:56:53 2024,0,63,[Range],59.600,0.000,-65.160,0.000,1,b4w,30.000
Wed Apr  3 21:56:54 2024,0,29,[Range],39.400,0.000,-64.080,-1.800,1,b4w,87.000
Wed Apr  3 21:56:55 2024,0,21,[Range],39.200,0.400,-64.440,0.000,1,b4w,13.000
Wed Apr  3 21:58:09 2024,0,52,[Range],59.400,-1.400,-60.480,-3.960,1,b4w,26.000
Wed Apr  3 21:58:10 2024,0,52,[Range],39.300,-1.600,-60.480,-1.080,1,b4w,56.000
Wed Apr  3 21:58:39 2024,0,43,[Range],59.700,1.600,-59.760,-2.520,0,b4w,26.000
Wed Apr  3 21:58:41 2024,0,43,[Range],39.200,1.700,-60.120,-0.360,0,b4w,25.000
Wed Apr  3 21:58:54 2024,0,34,[Range],39.800,-4.500,-31.320,0.000,1,b4w,7.000
