Tue Mar 19 17:48:12 2024,0,245,[Range],49.700,1.500,-53.640,-1.080,0,b4w,39.000
Tue Mar 19 17:48:20 2024,0,250,[Range],49.500,-2.600,-50.040,0.000,1,b4w,6.000
Tue Mar 19 17:48:37 2024,0,255,[Range],49.700,1.500,-63.720,-4.680,0,b4w,22.000
Tue Mar 19 17:48:50 2024,0,251,[Range],49.800,-1.200,-57.960,-0.720,1,b4w,47.000
Tue Mar 19 17:48:54 2024,0,1,[Range],48.700,2.100,-96.120,-1.440,0,b4w,4.000
Tue Mar 19 17:49:23 2024,0,0,[Range],49.200,1.600,-79.200,-3.240,0,b4w,8.000
Tue Mar 19 17:49:32 2024,0,6,[Range],49.700,-2.700,-72.720,0.000,1,b4w,3.000
Tue Mar 19 17:49:51 2024,0,9,[Range],49.600,-3.900,-42.840,-0.720,1,b4w,4.000
Tue Mar 19 17:49:55 2024,0,7,[Range],48.900,1.700,-99.720,-2.160,0,b4w,6.000
Tue Mar 19 17:50:19 2024,0,14,[Range],49.600,1.500,-54.720,-1.080,0,b4w,20.000
Tue Mar 19 17:50:28 2024,0,18,[Range],49.000,1.700,-108.000,-3.600,0,b4w,9.000
Tue Mar 19 17:50:30 2024,0,16,[Range],49.600,-1.400,-55.440,1.440,1,b4w,24.000
Tue Mar 19 17:50:46 2024,0,20,[Range],49.300,1.400,-59.400,-2.880,0,b4w,16.000
Tue Mar 19 17:51:07 2024,0,25,[Range],49.800,-2.600,-58.320,0.000,1,b4w,1.000
Tue Mar 19 17:51:42 2024,0,27,[Range],49.500,1.400,-60.840,-2.520,0,b4w,37.000
Tue Mar 19 17:52:09 2024,0,19,[Range],49.700,-1.400,-49.320,-0.720,1,b4w,6.000
Tue Mar 19 17:52:13 2024,0,26,[Range],49.800,1.300,-81.720,-2.520,0,b4w,8.000
Tue Mar 19 17:52:16 2024,0,24,[Range],49.100,1.600,-103.320,-1.080,0,b4w,6.000
Tue Mar 19 17:52:33 2024,0,33,[Range],49.600,-1.000,-54.360,-3.240,1,b4w,190.000
Tue Mar 19 17:52:36 2024,0,39,[Range],49.200,-2.700,-53.640,0.000,1,b4w,6.000
Tue Mar 19 17:52:46 2024,0,29,[Range],49.600,1.900,-80.280,-2.880,0,b4w,27.000
