time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Fri Mar 22 22:38:50 2024,0,25,[Range],69.800,2.200,-88.920,-1.080,0,b4w,7.000
Fri Mar 22 22:39:34 2024,0,27,[Range],69.200,-1.000,-64.800,-1.440,1,b4w,112.000
Fri Mar 22 22:40:19 2024,0,66,[Range],69.300,2.700,-62.640,-1.080,0,b4w,60.000
Fri Mar 22 22:40:25 2024,0,36,[Range],69.600,0.100,-74.160,-1.080,1,b4w,47.000
Fri Mar 22 22:40:54 2024,0,29,[Range],69.500,-1.200,-47.520,-0.360,1,b4w,0.000
Fri Mar 22 22:41:02 2024,0,34,[Range],69.800,0.600,-85.320,0.000,0,b4w,65.000
Fri Mar 22 22:42:25 2024,0,53,[Range],69.000,-0.600,-86.400,0.000,1,b4w,2.000
Fri Mar 22 22:42:38 2024,0,41,[Range],69.900,-0.400,-61.920,-0.360,1,b4w,4.000
Fri Mar 22 22:42:52 2024,0,50,[Range],69.800,-0.200,-66.600,-2.880,1,b4w,27.000
Fri Mar 22 22:43:19 2024,0,69,[Range],69.700,-1.100,-67.320,-1.080,1,b4w,12.000
Fri Mar 22 22:43:37 2024,0,46,[Range],69.900,2.100,-27.720,-0.720,0,b4w,20.000
Fri Mar 22 22:44:55 2024,0,55,[Range],69.700,-1.900,-36.360,-0.360,1,b4w,63.000
Fri Mar 22 22:45:03 2024,0,64,[Range],69.900,2.000,-76.680,-1.080,0,b4w,5.000
Fri Mar 22 22:45:25 2024,0,48,[Range],69.100,-1.300,-67.680,-3.960,1,b4w,64.000
Fri Mar 22 22:47:36 2024,0,58,[Range],69.300,2.500,-88.560,-1.440,0,b4w,66.000
