time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Fri Mar 22 11:51:25 2024,0,36,[Range],69.300,1.800,-78.120,-1.800,0,b4w,5.000
Fri Mar 22 11:51:37 2024,0,39,[Range],69.800,1.400,-49.680,2.160,0,b4w,4.000
Fri Mar 22 11:51:45 2024,0,45,[Range],69.600,-0.600,-53.280,-2.880,1,b4w,36.000
Fri Mar 22 11:52:03 2024,0,27,[Range],69.000,2.400,-97.920,-0.720,0,b4w,3.000
Fri Mar 22 11:52:45 2024,0,25,[Range],69.700,-0.900,-62.640,-3.240,1,b4w,23.000
Fri Mar 22 11:53:27 2024,0,41,[Range],68.600,0.900,-118.440,0.000,0,b4w,5.000
Fri Mar 22 11:54:36 2024,0,50,[Range],69.500,2.200,-41.040,-1.800,0,b4w,19.000
Fri Mar 22 11:54:52 2024,0,57,[Range],69.300,-2.400,-51.840,0.000,1,b4w,5.000
Fri Mar 22 11:55:04 2024,0,42,[Range],69.900,-1.000,-59.400,-2.160,1,b4w,63.000
Fri Mar 22 11:55:32 2024,0,53,[Range],69.400,-2.400,-53.640,0.000,1,b4w,0.000
Fri Mar 22 11:55:44 2024,0,51,[Range],69.800,2.800,-77.040,0.000,0,b4w,16.000
Fri Mar 22 11:56:05 2024,0,46,[Range],69.200,2.000,-97.200,-0.720,0,b4w,5.000
Fri Mar 22 11:56:58 2024,0,56,[Range],69.500,2.400,-77.760,-1.440,0,b4w,76.000
Fri Mar 22 11:57:04 2024,0,62,[Range],69.100,1.400,-97.200,-0.720,0,b4w,5.000
Fri Mar 22 11:57:26 2024,0,48,[Range],68.700,2.000,-90.360,-0.360,0,b4w,4.000
Fri Mar 22 11:57:41 2024,0,60,[Range],69.200,0.000,-72.360,0.000,1,b4w,14.000
Fri Mar 22 11:57:59 2024,0,81,[Range],68.800,0.000,-112.320,0.000,1,b4w,3.000
Fri Mar 22 11:58:06 2024,0,64,[Range],69.900,-2.000,-39.240,0.000,1,b4w,13.000
Fri Mar 22 11:59:03 2024,0,82,[Range],69.800,-4.600,-36.000,0.000,1,b4w,6.000
Fri Mar 22 11:59:15 2024,0,54,[Range],69.800,-2.500,-41.760,0.000,1,b4w,1.000
Fri Mar 22 11:59:29 2024,0,79,[Range],69.800,-2.900,-36.360,0.000,1,b4w,1.000
Fri Mar 22 11:59:34 2024,0,77,[Range],69.900,-3.900,-52.200,0.000,1,b4w,3.000
Fri Mar 22 11:59:49 2024,0,67,[Range],69.600,-1.500,-45.360,0.000,1,b4w,7.000
Fri Mar 22 11:59:52 2024,0,95,[Range],69.100,2.100,-66.600,-3.240,0,b4w,96.000
Fri Mar 22 12:00:07 2024,0,80,[Range],69.900,-1.100,-23.400,0.000,1,b4w,13.000
Fri Mar 22 12:00:16 2024,0,73,[Range],69.700,2.400,-83.520,-2.520,0,b4w,6.000
Fri Mar 22 12:00:25 2024,0,106,[Range],69.300,-0.100,-55.800,-0.720,1,b4w,23.000
Fri Mar 22 12:00:59 2024,0,96,[Range],69.900,-2.900,-41.760,0.000,1,b4w,2.000
Fri Mar 22 12:02:03 2024,0,101,[Range],69.300,-2.400,-55.800,-0.360,1,b4w,33.000
Fri Mar 22 12:02:11 2024,0,90,[Range],69.700,-0.600,-50.400,-2.160,1,b4w,10.000
Fri Mar 22 12:03:01 2024,0,98,[Range],69.800,-3.900,-35.640,-1.440,1,b4w,35.000
Fri Mar 22 12:03:08 2024,0,118,[Range],69.300,2.100,-57.600,-3.240,0,b4w,19.000
Fri Mar 22 12:03:17 2024,0,121,[Range],69.700,-0.100,-57.960,-0.360,1,b4w,19.000
Fri Mar 22 12:03:38 2024,0,114,[Range],69.800,-2.200,-34.200,-0.360,1,b4w,19.000
Fri Mar 22 12:03:42 2024,0,110,[Range],69.400,2.700,-95.760,0.000,0,b4w,7.000
Fri Mar 22 12:03:59 2024,0,112,[Range],69.300,2.700,-104.400,0.000,0,b4w,7.000
Fri Mar 22 12:04:30 2024,0,92,[Range],69.000,0.200,-77.760,0.000,1,b4w,18.000
Fri Mar 22 12:05:04 2024,0,127,[Range],69.900,1.600,-66.600,-3.240,0,b4w,97.000
Fri Mar 22 12:05:35 2024,0,123,[Range],69.600,-0.300,-70.200,0.000,1,b4w,5.000
Fri Mar 22 12:06:30 2024,0,122,[Range],68.800,2.300,-95.040,-0.360,0,b4w,7.000
Fri Mar 22 12:06:39 2024,0,131,[Range],69.600,2.300,-95.400,-1.080,0,b4w,16.000
Fri Mar 22 12:07:32 2024,0,113,[Range],69.500,-1.400,-40.680,-1.800,1,b4w,19.000
Fri Mar 22 12:08:05 2024,0,129,[Range],69.300,2.200,-101.160,-1.440,0,b4w,16.000
Fri Mar 22 12:08:24 2024,0,143,[Range],69.300,2.700,-87.120,0.000,0,b4w,4.000
Fri Mar 22 12:08:32 2024,0,148,[Range],69.800,2.200,-42.840,-2.880,0,b4w,28.000
Fri Mar 22 12:08:34 2024,0,137,[Range],69.900,2.600,-42.480,0.000,0,b4w,6.000
Fri Mar 22 12:08:45 2024,0,152,[Range],69.700,-0.800,-62.640,-2.520,1,b4w,24.000
Fri Mar 22 12:09:29 2024,0,154,[Range],68.900,-0.600,-101.520,-0.360,1,b4w,4.000
Fri Mar 22 12:09:40 2024,0,170,[Range],69.800,2.500,-122.760,-0.720,0,b4w,4.000
Fri Mar 22 12:09:51 2024,0,153,[Range],69.100,-0.500,-86.400,-0.360,1,b4w,6.000
Fri Mar 22 12:09:54 2024,0,162,[Range],69.600,-3.400,-33.120,0.000,1,b4w,1.000
Fri Mar 22 12:10:15 2024,0,145,[Range],69.900,-1.700,-29.520,-0.360,1,b4w,18.000
Fri Mar 22 12:10:41 2024,0,163,[Range],69.900,2.300,-54.360,-2.520,0,b4w,75.000
Fri Mar 22 12:12:07 2024,0,155,[Range],69.600,2.200,-63.720,-3.240,0,b4w,4.000
Fri Mar 22 12:12:13 2024,0,167,[Range],69.000,3.300,-95.760,0.000,0,b4w,7.000
Fri Mar 22 12:12:15 2024,0,158,[Range],69.600,-2.100,-44.640,0.000,1,b4w,22.000
Fri Mar 22 12:12:31 2024,0,182,[Range],69.100,-1.600,-74.160,0.000,1,b4w,1.000
Fri Mar 22 12:12:47 2024,0,172,[Range],69.100,2.600,-63.000,-0.720,0,b4w,5.000
Fri Mar 22 12:13:53 2024,0,175,[Range],69.500,-0.100,-80.280,-0.720,1,b4w,5.000
Fri Mar 22 12:14:00 2024,0,183,[Range],69.500,2.700,-57.960,-2.160,0,b4w,14.000
Fri Mar 22 12:14:25 2024,0,194,[Range],69.500,3.200,-108.000,0.000,0,b4w,31.000
