time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Wed Apr  3 11:18:36 2024,0,47,[Range],39.400,-2.400,-57.240,0.000,1,b4w,3.000
Wed Apr  3 11:18:41 2024,0,52,[Range],59.700,-2.400,-28.440,0.000,1,b4w,1.000
Wed Apr  3 11:18:44 2024,0,52,[Range],39.800,-2.800,-28.440,-0.720,1,b4w,3.000
Wed Apr  3 11:18:49 2024,0,71,[Range],59.200,1.900,-91.800,-2.880,0,b4w,8.000
Wed Apr  3 11:18:49 2024,0,71,[Range],38.800,1.200,-92.160,-3.960,0,b4w,6.000
Wed Apr  3 11:19:31 2024,0,38,[Range],59.400,-1.100,-58.680,0.000,1,b4w,4.000
Wed Apr  3 11:19:32 2024,0,38,[Range],39.900,-1.800,-58.320,-0.360,1,b4w,8.000
Wed Apr  3 11:20:23 2024,0,51,[Range],59.500,-1.000,-58.320,-1.440,1,b4w,38.000
Wed Apr  3 11:20:24 2024,0,51,[Range],39.400,-1.400,-58.320,-0.720,1,b4w,53.000
Wed Apr  3 11:20:30 2024,0,34,[Range],39.600,-4.100,-55.800,0.000,1,b4w,6.000
Wed Apr  3 11:22:24 2024,0,59,[Range],59.400,2.000,-76.320,-2.160,0,b4w,6.000
Wed Apr  3 11:22:25 2024,0,59,[Range],39.300,0.900,-76.320,-3.600,0,b4w,5.000
Wed Apr  3 11:22:27 2024,0,62,[Range],39.400,-1.100,-95.760,0.000,1,b4w,5.000
Wed Apr  3 11:22:29 2024,0,67,[Range],59.600,-2.600,-40.680,0.000,1,b4w,2.000
Wed Apr  3 11:22:31 2024,0,67,[Range],39.800,-3.400,-41.040,-1.440,1,b4w,6.000
Wed Apr  3 11:23:03 2024,0,74,[Range],39.600,-2.200,-77.400,0.000,1,b4w,8.000
Wed Apr  3 11:23:22 2024,0,55,[Range],59.400,-3.100,-40.680,0.000,1,b4w,1.000
Wed Apr  3 11:23:23 2024,0,55,[Range],39.500,-4.000,-41.760,-0.360,1,b4w,3.000
Wed Apr  3 11:24:15 2024,0,69,[Range],39.700,-4.300,-38.880,0.000,1,b4w,1.000
Wed Apr  3 11:25:09 2024,0,77,[Range],59.300,-2.400,-49.680,0.000,1,b4w,5.000
Wed Apr  3 11:25:11 2024,0,77,[Range],39.300,-2.300,-53.280,0.360,1,b4w,5.000
Wed Apr  3 11:25:56 2024,0,66,[Range],59.400,-2.400,-48.960,0.000,1,b4w,0.000
Wed Apr  3 11:25:57 2024,0,66,[Range],39.300,-2.600,-48.960,-0.360,1,b4w,1.000
Wed Apr  3 11:26:22 2024,0,53,[Range],58.600,-0.600,-110.160,0.000,1,b4w,3.000
Wed Apr  3 11:26:23 2024,0,53,[Range],38.800,-1.200,-110.520,-1.080,1,b4w,11.000
Wed Apr  3 11:26:55 2024,0,80,[Range],59.200,1.800,-77.400,-1.800,0,b4w,6.000
Wed Apr  3 11:26:56 2024,0,80,[Range],39.900,1.200,-77.040,-2.520,0,b4w,7.000
