time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Fri Mar 15 17:38:06 2024,0,71,[Range],69.600,2.700,-78.840,0.000,0,b4w,20.000
Fri Mar 15 17:38:18 2024,0,72,[Range],69.100,3.000,-76.680,0.000,0,b4w,22.000
