time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Sun Mar 17 15:33:00 2024,0,140,[Range],69.900,-2.300,-55.800,0.000,1,b4w,0.000
Sun Mar 17 15:33:24 2024,0,150,[Range],69.600,-0.500,-60.120,-0.360,1,b4w,5.000
Sun Mar 17 15:33:54 2024,0,151,[Range],69.200,2.100,-52.200,-1.800,0,b4w,16.000
Sun Mar 17 15:34:00 2024,0,135,[Range],69.400,0.100,-68.400,0.000,1,b4w,4.000
Sun Mar 17 15:34:11 2024,0,146,[Range],69.700,2.200,-78.120,-0.360,0,b4w,6.000
Sun Mar 17 15:34:44 2024,0,153,[Range],69.300,3.300,-77.760,0.000,0,b4w,6.000
