time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Sun Mar 24 18:49:07 2024,0,170,[Range],69.100,-0.500,-73.800,-2.160,1,b4w,62.000
Sun Mar 24 18:49:09 2024,0,170,[Range],29.900,-1.700,-73.800,-1.440,1,b4w,62.000
Sun Mar 24 18:49:27 2024,0,156,[Range],69.800,0.700,-49.320,-2.520,0,b4w,32.000
Sun Mar 24 18:49:30 2024,0,156,[Range],29.500,0.500,-47.880,1.080,0,b4w,76.000
Sun Mar 24 18:49:38 2024,0,168,[Range],29.900,1.200,-107.280,0.000,0,b4w,9.000
Sun Mar 24 18:49:40 2024,0,165,[Range],30.500,-0.400,55.800,0.000,1,b4w,6.000
Sun Mar 24 18:49:55 2024,0,135,[Range],29.900,-4.100,-15.120,1.440,1,b4w,6.000
Sun Mar 24 18:50:02 2024,0,153,[Range],69.500,-0.600,-51.840,0.000,1,b4w,0.000
Sun Mar 24 18:50:05 2024,0,153,[Range],29.400,-1.600,-48.240,-0.720,1,b4w,5.000
Sun Mar 24 18:50:40 2024,0,107,[Range],29.000,-0.900,-92.520,0.000,1,b4w,4.000
Sun Mar 24 18:50:41 2024,0,155,[Range],69.600,-0.900,-34.920,-1.800,1,b4w,34.000
Sun Mar 24 18:50:45 2024,0,155,[Range],29.500,-1.900,-39.240,-0.360,1,b4w,61.000
Sun Mar 24 18:50:56 2024,0,133,[Range],29.600,-2.800,-27.720,-0.720,1,b4w,0.000
Sun Mar 24 18:51:00 2024,0,173,[Range],69.900,-0.300,-39.240,-1.080,1,b4w,29.000
Sun Mar 24 18:51:04 2024,0,173,[Range],29.800,-1.200,-39.960,-0.720,1,b4w,28.000
Sun Mar 24 18:51:11 2024,0,151,[Range],69.800,-1.700,-49.320,-2.520,1,b4w,20.000
Sun Mar 24 18:51:14 2024,0,151,[Range],29.700,-1.700,-49.680,0.720,1,b4w,55.000
Sun Mar 24 18:51:46 2024,0,141,[Range],69.100,-0.100,-75.960,-0.360,1,b4w,6.000
Sun Mar 24 18:51:48 2024,0,141,[Range],29.900,-1.200,-76.680,-1.080,1,b4w,7.000
Sun Mar 24 18:51:52 2024,0,147,[Range],68.900,2.700,-74.160,-0.360,0,b4w,6.000
Sun Mar 24 18:51:54 2024,0,147,[Range],29.100,1.200,-73.080,-2.160,0,b4w,6.000
Sun Mar 24 18:51:59 2024,0,162,[Range],29.000,0.100,-105.480,0.000,1,b4w,7.000
Sun Mar 24 18:52:24 2024,0,146,[Range],69.800,2.200,-56.520,-3.960,0,b4w,31.000
Sun Mar 24 18:52:25 2024,0,163,[Range],69.300,0.400,-58.320,0.000,1,b4w,0.000
Sun Mar 24 18:52:27 2024,0,146,[Range],29.400,1.400,-56.880,-0.360,0,b4w,75.000
Sun Mar 24 18:53:06 2024,0,167,[Range],69.700,-3.500,-24.120,0.000,1,b4w,1.000
Sun Mar 24 18:53:12 2024,0,167,[Range],29.900,-4.300,-23.040,0.000,1,b4w,0.000
Sun Mar 24 18:54:10 2024,0,204,[Range],69.700,-1.800,-52.920,0.000,1,b4w,0.000
Sun Mar 24 18:54:11 2024,0,174,[Range],69.400,2.400,-65.160,-1.440,0,b4w,26.000
Sun Mar 24 18:54:12 2024,0,142,[Range],69.200,1.500,-66.960,0.000,0,b4w,3.000
