time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Sun Mar 24 12:08:21 2024,0,194,[Range],29.900,-4.200,-48.600,0.000,1,b4w,0.000
Sun Mar 24 12:08:34 2024,0,184,[Range],69.600,-3.300,-34.920,0.000,1,b4w,0.000
Sun Mar 24 12:08:41 2024,0,228,[Range],68.600,-0.900,-106.200,0.000,1,b4w,14.000
Sun Mar 24 12:08:49 2024,0,187,[Range],69.200,2.200,-91.080,-0.720,0,b4w,7.000
Sun Mar 24 12:09:09 2024,0,197,[Range],29.200,-3.100,-50.400,-0.720,1,b4w,1.000
Sun Mar 24 12:09:31 2024,0,199,[Range],69.500,-1.700,-55.080,-3.240,1,b4w,37.000
Sun Mar 24 12:09:34 2024,0,199,[Range],29.800,-2.300,-55.440,0.000,1,b4w,15.000
Sun Mar 24 12:09:40 2024,0,171,[Range],69.400,-0.700,-91.800,-0.720,1,b4w,5.000
Sun Mar 24 12:09:42 2024,0,185,[Range],29.900,1.000,-63.720,-1.080,0,b4w,16.000
Sun Mar 24 12:10:23 2024,0,180,[Range],69.500,-2.100,-51.840,-0.360,1,b4w,5.000
Sun Mar 24 12:10:25 2024,0,180,[Range],29.400,-2.700,-55.440,-0.720,1,b4w,5.000
Sun Mar 24 12:10:29 2024,0,201,[Range],69.700,2.100,-56.880,-2.520,0,b4w,14.000
Sun Mar 24 12:10:32 2024,0,201,[Range],29.700,0.900,-57.240,-1.440,0,b4w,60.000
Sun Mar 24 12:10:32 2024,0,202,[Range],29.400,-2.200,-104.040,-3.600,1,b4w,6.000
Sun Mar 24 12:10:37 2024,0,193,[Range],69.300,2.800,-75.240,-0.360,0,b4w,5.000
Sun Mar 24 12:10:46 2024,0,212,[Range],69.700,2.500,-86.400,0.000,0,b4w,6.000
Sun Mar 24 12:10:52 2024,0,218,[Range],29.400,-3.100,-56.520,0.000,1,b4w,7.000
Sun Mar 24 12:10:58 2024,0,195,[Range],69.800,1.900,-87.480,0.000,0,b4w,2.000
Sun Mar 24 12:11:10 2024,0,208,[Range],69.100,2.200,-76.680,-0.720,0,b4w,1.000
