time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Tue Apr  2 19:13:02 2024,0,238,[Range],59.400,-1.000,-46.800,-0.720,1,b4w,24.000
Tue Apr  2 19:13:03 2024,0,238,[Range],39.500,-1.600,-47.160,-0.720,1,b4w,22.000
Tue Apr  2 19:13:16 2024,0,221,[Range],59.600,-4.500,-35.640,0.000,1,b4w,7.000
Tue Apr  2 19:13:18 2024,0,221,[Range],39.800,-3.800,-35.280,1.080,1,b4w,6.000
Tue Apr  2 19:13:31 2024,0,243,[Range],39.400,-1.600,-45.000,0.000,1,b4w,8.000
Tue Apr  2 19:13:42 2024,0,236,[Range],59.500,-0.900,-39.240,-0.720,1,b4w,42.000
Tue Apr  2 19:13:44 2024,0,236,[Range],39.700,-1.400,-38.880,-0.720,1,b4w,43.000
Tue Apr  2 19:14:16 2024,0,242,[Range],59.500,1.000,-81.000,0.000,0,b4w,7.000
Tue Apr  2 19:14:17 2024,0,242,[Range],39.300,0.400,-80.640,-1.440,1,b4w,6.000
Tue Apr  2 19:14:30 2024,0,230,[Range],39.500,-3.100,-55.800,0.000,1,b4w,6.000
Tue Apr  2 19:14:37 2024,0,0,[Range],59.900,-3.900,-35.640,0.000,1,b4w,6.000
Tue Apr  2 19:14:40 2024,0,0,[Range],39.500,-3.900,-32.760,0.000,1,b4w,7.000
Tue Apr  2 19:14:43 2024,0,246,[Range],59.500,-2.300,-52.560,0.720,1,b4w,3.000
Tue Apr  2 19:14:44 2024,0,246,[Range],39.500,-2.200,-54.360,0.000,1,b4w,5.000
Tue Apr  2 19:14:55 2024,0,245,[Range],59.800,-0.900,-33.480,-0.360,1,b4w,24.000
Tue Apr  2 19:14:57 2024,0,245,[Range],39.900,-1.300,-34.560,-0.360,1,b4w,45.000
Tue Apr  2 19:15:05 2024,0,254,[Range],58.400,2.300,-118.800,-0.720,0,b4w,34.000
Tue Apr  2 19:15:06 2024,0,254,[Range],38.700,1.800,-118.080,-2.160,0,b4w,5.000
Tue Apr  2 19:15:35 2024,0,227,[Range],59.600,2.200,-55.080,-2.160,0,b4w,31.000
Tue Apr  2 19:15:35 2024,0,3,[Range],59.600,1.800,-56.880,0.000,0,b4w,3.000
Tue Apr  2 19:15:36 2024,0,227,[Range],39.600,1.300,-55.800,-1.440,0,b4w,33.000
Tue Apr  2 19:15:36 2024,0,251,[Range],39.500,0.100,-57.600,0.000,1,b4w,8.000
Tue Apr  2 19:16:06 2024,0,249,[Range],59.800,-0.700,-39.960,0.000,1,b4w,21.000
Tue Apr  2 19:16:08 2024,0,249,[Range],39.800,-1.200,-40.320,-0.360,1,b4w,21.000
Tue Apr  2 19:16:26 2024,0,5,[Range],59.900,-1.200,-75.600,-3.240,1,b4w,37.000
Tue Apr  2 19:16:27 2024,0,5,[Range],39.400,-0.700,-75.600,0.000,1,b4w,53.000
Tue Apr  2 19:16:40 2024,0,13,[Range],39.700,-4.200,-46.800,0.000,1,b4w,2.000
Tue Apr  2 19:16:47 2024,0,250,[Range],59.400,-3.400,-43.920,0.000,1,b4w,0.000
Tue Apr  2 19:16:47 2024,0,6,[Range],59.600,-2.600,-41.760,0.000,1,b4w,0.000
Tue Apr  2 19:16:48 2024,0,250,[Range],39.400,-3.800,-43.920,-0.360,1,b4w,6.000
Tue Apr  2 19:16:49 2024,0,6,[Range],39.900,-3.200,-42.120,-0.360,1,b4w,8.000
Tue Apr  2 19:16:50 2024,0,255,[Range],59.700,2.000,-48.600,-1.440,0,b4w,23.000
Tue Apr  2 19:16:51 2024,0,255,[Range],39.500,1.300,-48.600,-1.800,0,b4w,24.000
Tue Apr  2 19:16:52 2024,0,8,[Range],39.400,0.500,-50.040,0.000,0,b4w,1.000
Tue Apr  2 19:17:11 2024,0,20,[Range],59.500,-1.100,-47.520,0.000,1,b4w,6.000
Tue Apr  2 19:17:12 2024,0,11,[Range],59.100,1.200,-108.360,0.000,0,b4w,1.000
Tue Apr  2 19:17:12 2024,0,2,[Range],39.900,1.200,-108.000,-1.800,0,b4w,14.000
Tue Apr  2 19:17:13 2024,0,20,[Range],39.500,-1.800,-48.960,-1.080,1,b4w,9.000
Tue Apr  2 19:17:25 2024,0,17,[Range],59.600,-1.000,-50.760,-1.440,1,b4w,24.000
Tue Apr  2 19:17:27 2024,0,17,[Range],39.500,-1.300,-50.760,-1.080,1,b4w,25.000
Tue Apr  2 19:17:33 2024,0,10,[Range],59.700,-1.200,-62.640,-1.440,1,b4w,5.000
Tue Apr  2 19:17:34 2024,0,10,[Range],39.900,-1.600,-61.560,-1.080,1,b4w,10.000
Tue Apr  2 19:17:46 2024,0,1,[Range],59.100,-1.100,-65.880,-2.520,1,b4w,45.000
Tue Apr  2 19:17:46 2024,0,25,[Range],59.500,2.000,-41.760,-1.080,0,b4w,22.000
Tue Apr  2 19:17:47 2024,0,1,[Range],39.200,-1.100,-65.880,0.000,1,b4w,60.000
Tue Apr  2 19:17:48 2024,0,25,[Range],39.500,1.300,-41.040,-0.720,0,b4w,23.000
Tue Apr  2 19:18:08 2024,0,24,[Range],59.800,-1.200,-56.520,-1.440,1,b4w,6.000
Tue Apr  2 19:18:09 2024,0,33,[Range],59.400,-0.400,-60.480,-1.080,1,b4w,66.000
Tue Apr  2 19:18:09 2024,0,24,[Range],39.800,-1.800,-59.400,-1.440,1,b4w,6.000
Tue Apr  2 19:18:10 2024,0,33,[Range],39.700,-1.000,-60.480,-1.800,1,b4w,66.000
Tue Apr  2 19:18:13 2024,0,18,[Range],59.700,1.700,-38.880,-0.720,0,b4w,23.000
