Tue Mar 19 20:36:36 2024,0,56,[Range],49.700,1.500,-39.600,-1.440,0,b4w,22.000
Tue Mar 19 20:36:39 2024,0,51,[Range],49.400,-2.500,-45.720,0.000,1,b4w,7.000
Tue Mar 19 20:36:56 2024,0,55,[Range],49.800,-3.800,-37.080,0.000,1,b4w,7.000
Tue Mar 19 20:36:57 2024,0,63,[Range],49.800,-1.900,-41.760,0.000,1,b4w,6.000
Tue Mar 19 20:37:04 2024,0,54,[Range],49.400,0.400,-47.520,0.000,1,b4w,18.000
Tue Mar 19 20:37:05 2024,0,58,[Range],49.500,-0.200,-47.520,0.000,1,b4w,1.000
Tue Mar 19 20:37:12 2024,0,57,[Range],49.200,-1.300,-68.760,-2.880,1,b4w,36.000
Tue Mar 19 20:37:42 2024,0,52,[Range],49.300,1.500,-66.240,-2.520,0,b4w,6.000
Tue Mar 19 20:38:15 2024,0,61,[Range],49.700,1.300,-58.320,-2.160,0,b4w,45.000
Tue Mar 19 20:38:28 2024,0,43,[Range],49.600,-2.600,-45.000,0.000,1,b4w,4.000
Tue Mar 19 20:38:33 2024,0,65,[Range],49.500,-1.100,-47.520,-1.440,1,b4w,93.000
Tue Mar 19 20:38:35 2024,0,66,[Range],49.600,-1.100,-46.440,0.000,1,b4w,1.000
Tue Mar 19 20:38:58 2024,0,68,[Range],49.300,-0.700,-78.120,-1.080,1,b4w,10.000
