time,numErr,TrackID,Trigger,X(m),Y(m),Vx(km/h),Vy(km/h),Lane,objType,L(m)
Sun Mar 24 11:26:29 2024,0,146,[Range],69.700,-1.000,-37.080,-1.080,1,b4w,37.000
Sun Mar 24 11:27:33 2024,0,169,[Range],69.800,2.100,-48.960,-2.520,0,b4w,33.000
Sun Mar 24 11:27:48 2024,0,142,[Range],69.700,2.900,-109.800,0.000,0,b4w,4.000
Sun Mar 24 11:27:56 2024,0,166,[Range],69.000,2.100,-68.760,-2.520,0,b4w,8.000
Sun Mar 24 11:28:07 2024,0,160,[Range],69.600,-3.000,-34.920,0.000,1,b4w,0.000
Sun Mar 24 11:28:47 2024,0,198,[Range],69.100,2.700,-113.040,0.000,0,b4w,5.000
Sun Mar 24 11:28:53 2024,0,204,[Range],69.300,2.500,-90.720,-0.360,0,b4w,20.000
Sun Mar 24 11:28:59 2024,0,161,[Range],68.700,2.200,-112.680,-0.360,0,b4w,6.000
Sun Mar 24 11:30:06 2024,0,186,[Range],69.200,-1.500,-64.080,0.000,1,b4w,0.000
Sun Mar 24 11:30:11 2024,0,182,[Range],69.600,-0.600,-86.400,-2.880,1,b4w,4.000
Sun Mar 24 11:30:26 2024,0,178,[Range],69.400,-0.700,-75.960,-2.880,1,b4w,1.000
Sun Mar 24 11:30:31 2024,0,172,[Range],69.300,-2.500,-56.160,0.000,1,b4w,1.000
Sun Mar 24 11:30:45 2024,0,194,[Range],69.100,2.800,-90.000,-0.720,0,b4w,5.000
Sun Mar 24 11:30:55 2024,0,184,[Range],69.200,-0.400,-82.440,-0.720,1,b4w,1.000
Sun Mar 24 11:31:25 2024,0,187,[Range],69.400,1.900,-83.520,-0.360,0,b4w,3.000
Sun Mar 24 11:31:38 2024,0,228,[Range],69.500,-1.300,-47.880,0.000,1,b4w,16.000
Sun Mar 24 11:31:51 2024,0,197,[Range],69.600,-0.900,-63.720,-2.880,1,b4w,55.000
Sun Mar 24 11:32:00 2024,0,179,[Range],69.900,2.100,-112.680,0.000,0,b4w,5.000
Sun Mar 24 11:32:15 2024,0,212,[Range],69.300,2.600,-55.080,-1.800,0,b4w,24.000
Sun Mar 24 11:32:18 2024,0,203,[Range],69.900,-0.700,-76.320,0.000,1,b4w,4.000
Sun Mar 24 11:32:54 2024,0,201,[Range],68.900,2.500,-104.760,-0.360,0,b4w,25.000
Sun Mar 24 11:33:14 2024,0,195,[Range],69.100,-0.300,-72.000,-3.240,1,b4w,23.000
Sun Mar 24 11:34:15 2024,0,220,[Range],69.800,-3.200,-48.600,-1.800,1,b4w,2.000
Sun Mar 24 11:34:17 2024,0,206,[Range],69.000,2.200,-99.360,-1.080,0,b4w,6.000
Sun Mar 24 11:34:27 2024,0,222,[Range],69.900,-0.600,-44.640,0.000,1,b4w,2.000
Sun Mar 24 11:34:56 2024,0,221,[Range],69.600,1.900,-75.960,-3.600,0,b4w,25.000
Sun Mar 24 11:35:00 2024,0,237,[Range],69.300,2.400,-87.840,-0.360,0,b4w,5.000
Sun Mar 24 11:35:14 2024,0,223,[Range],69.200,-0.900,-53.640,-0.360,1,b4w,5.000
Sun Mar 24 11:35:47 2024,0,211,[Range],69.500,3.200,-130.320,0.000,0,b4w,2.000
Sun Mar 24 11:36:35 2024,0,200,[Range],69.200,0.100,-77.040,-0.720,1,b4w,4.000
Sun Mar 24 11:36:39 2024,0,213,[Range],69.300,-2.600,-56.880,0.000,1,b4w,0.000
Sun Mar 24 11:36:51 2024,0,232,[Range],69.800,2.400,-105.840,-0.360,0,b4w,3.000
Sun Mar 24 11:37:26 2024,0,205,[Range],69.800,-3.700,-32.400,-0.360,1,b4w,3.000
Sun Mar 24 11:37:51 2024,0,231,[Range],69.100,2.600,-89.280,0.000,0,b4w,4.000
Sun Mar 24 11:38:04 2024,0,233,[Range],69.600,2.400,-68.760,-1.800,0,b4w,25.000
Sun Mar 24 11:38:12 2024,0,230,[Range],68.500,1.300,-101.880,-0.360,0,b4w,5.000
Sun Mar 24 11:38:23 2024,0,245,[Range],69.800,-1.300,-45.720,-1.800,1,b4w,8.000
Sun Mar 24 11:38:53 2024,0,225,[Range],69.400,0.300,-128.880,0.000,1,b4w,5.000
Sun Mar 24 11:39:10 2024,0,241,[Range],69.500,-0.900,-118.800,0.000,1,b4w,5.000
Sun Mar 24 11:39:18 2024,0,15,[Range],68.800,-0.100,-124.200,0.000,1,b4w,3.000
Sun Mar 24 11:39:21 2024,0,191,[Range],69.900,2.600,-57.240,-0.720,0,b4w,21.000
Sun Mar 24 11:39:58 2024,0,253,[Range],69.400,-0.800,-82.800,0.000,1,b4w,6.000
Sun Mar 24 11:40:35 2024,0,6,[Range],69.700,-1.000,-63.720,-2.880,1,b4w,26.000
Sun Mar 24 11:40:45 2024,0,235,[Range],69.200,2.600,-75.960,-2.160,0,b4w,5.000
Sun Mar 24 11:41:14 2024,0,248,[Range],69.400,-0.200,-106.200,0.000,1,b4w,4.000
Sun Mar 24 11:41:28 2024,0,20,[Range],69.700,-1.700,-44.280,-2.520,1,b4w,13.000
Sun Mar 24 11:41:32 2024,0,1,[Range],69.700,2.800,-106.920,0.000,0,b4w,6.000
Sun Mar 24 11:43:05 2024,0,254,[Range],69.800,2.900,-92.880,0.000,0,b4w,4.000
Sun Mar 24 11:43:13 2024,0,234,[Range],69.300,-1.100,-49.680,-3.960,1,b4w,24.000
Sun Mar 24 11:43:34 2024,0,240,[Range],69.600,-0.800,-57.960,-0.360,1,b4w,2.000
Sun Mar 24 11:44:44 2024,0,8,[Range],69.500,-2.300,-70.920,0.000,1,b4w,1.000
Sun Mar 24 11:44:57 2024,0,247,[Range],69.600,2.200,-64.440,-1.080,0,b4w,3.000
Sun Mar 24 11:45:04 2024,0,9,[Range],69.500,0.300,-68.400,0.000,1,b4w,14.000
Sun Mar 24 11:45:32 2024,0,25,[Range],69.400,2.600,-118.800,0.000,0,b4w,6.000
Sun Mar 24 11:45:41 2024,0,5,[Range],69.900,3.100,-79.200,0.000,0,b4w,32.000
Sun Mar 24 11:45:44 2024,0,38,[Range],69.700,-2.000,-37.440,0.000,1,b4w,15.000
Sun Mar 24 11:46:19 2024,0,12,[Range],69.400,2.700,-50.760,-1.440,0,b4w,21.000
Sun Mar 24 11:46:22 2024,0,19,[Range],69.900,0.100,-99.000,0.000,1,b4w,4.000
Sun Mar 24 11:46:31 2024,0,22,[Range],69.800,-1.300,-37.080,-0.360,1,b4w,31.000
Sun Mar 24 11:46:38 2024,0,17,[Range],68.500,2.900,-137.160,0.000,0,b4w,5.000
Sun Mar 24 11:46:50 2024,0,16,[Range],69.500,-3.400,-46.800,-1.080,1,b4w,18.000
Sun Mar 24 11:46:58 2024,0,30,[Range],69.300,2.200,-49.680,-3.600,0,b4w,23.000
Sun Mar 24 11:47:07 2024,0,44,[Range],69.300,-2.000,-50.040,0.000,1,b4w,0.000
Sun Mar 24 11:47:14 2024,0,36,[Range],69.800,-2.100,-28.080,0.000,1,b4w,12.000
Sun Mar 24 11:47:18 2024,0,29,[Range],69.700,0.000,-60.120,-2.520,1,b4w,7.000
Sun Mar 24 11:48:18 2024,0,4,[Range],69.600,1.500,-64.080,-3.240,0,b4w,21.000
Sun Mar 24 11:48:21 2024,0,4,[Range],29.300,0.500,-65.160,-2.160,0,b4w,46.000
Sun Mar 24 11:48:28 2024,0,35,[Range],68.900,-0.500,-84.960,-2.880,1,b4w,6.000
Sun Mar 24 11:48:32 2024,0,72,[Range],29.300,0.800,-81.720,-2.160,0,b4w,7.000
Sun Mar 24 11:48:32 2024,0,55,[Range],69.100,2.600,-65.520,-1.800,0,b4w,19.000
Sun Mar 24 11:48:36 2024,0,39,[Range],69.700,-1.000,-79.560,0.000,1,b4w,4.000
Sun Mar 24 11:48:49 2024,0,41,[Range],29.400,-4.400,-50.760,0.000,1,b4w,1.000
Sun Mar 24 11:49:01 2024,0,61,[Range],69.300,1.900,-117.720,0.000,0,b4w,1.000
Sun Mar 24 11:49:34 2024,0,43,[Range],69.800,2.500,-84.600,-1.080,0,b4w,21.000
Sun Mar 24 11:49:50 2024,0,69,[Range],69.500,3.300,-87.840,0.000,0,b4w,5.000
Sun Mar 24 11:49:53 2024,0,65,[Range],29.400,-1.700,-62.640,-0.360,1,b4w,4.000
Sun Mar 24 11:49:54 2024,0,34,[Range],69.900,-0.600,-60.840,-0.360,1,b4w,26.000
Sun Mar 24 11:49:56 2024,0,34,[Range],29.600,-0.700,-65.880,0.000,1,b4w,10.000
Sun Mar 24 11:49:59 2024,0,59,[Range],69.700,0.900,-98.640,0.000,0,b4w,20.000
Sun Mar 24 11:50:35 2024,0,67,[Range],69.500,-2.200,-59.400,0.720,1,b4w,12.000
Sun Mar 24 11:50:37 2024,0,67,[Range],29.700,-2.300,-65.160,0.360,1,b4w,22.000
Sun Mar 24 11:50:49 2024,0,86,[Range],69.900,-1.500,-34.920,-2.160,1,b4w,32.000
Sun Mar 24 11:50:53 2024,0,86,[Range],29.700,-1.900,-37.800,-1.080,1,b4w,53.000
Sun Mar 24 11:51:54 2024,0,62,[Range],29.900,-3.900,-47.880,-0.360,1,b4w,0.000
Sun Mar 24 11:51:55 2024,0,64,[Range],29.600,-2.300,-66.960,0.000,1,b4w,1.000
Sun Mar 24 11:52:26 2024,0,60,[Range],69.000,2.300,-74.520,-1.440,0,b4w,12.000
Sun Mar 24 11:52:40 2024,0,108,[Range],69.300,-1.900,-48.960,-0.720,1,b4w,4.000
Sun Mar 24 11:52:43 2024,0,108,[Range],29.700,-2.200,-50.760,-0.360,1,b4w,20.000
Sun Mar 24 11:52:45 2024,0,63,[Range],68.900,2.600,-90.000,-0.360,0,b4w,5.000
Sun Mar 24 11:52:59 2024,0,54,[Range],29.300,-2.800,-61.560,0.000,1,b4w,1.000
Sun Mar 24 11:53:09 2024,0,56,[Range],69.200,2.100,-77.400,-1.800,0,b4w,11.000
Sun Mar 24 11:53:25 2024,0,78,[Range],69.900,-4.400,-40.680,0.000,1,b4w,3.000
Sun Mar 24 11:53:29 2024,0,78,[Range],29.800,-4.300,-40.320,0.720,1,b4w,0.000
Sun Mar 24 11:53:30 2024,0,75,[Range],69.500,2.100,-73.440,-2.160,0,b4w,76.000
Sun Mar 24 11:53:41 2024,0,46,[Range],69.900,-2.900,-48.600,0.000,1,b4w,4.000
Sun Mar 24 11:53:43 2024,0,80,[Range],69.800,2.300,-97.200,-0.360,0,b4w,5.000
Sun Mar 24 11:53:46 2024,0,40,[Range],69.500,-1.900,-38.520,0.000,1,b4w,25.000
Sun Mar 24 11:53:50 2024,0,40,[Range],29.800,-1.600,-39.600,1.080,1,b4w,35.000
Sun Mar 24 11:53:58 2024,0,91,[Range],69.500,-0.900,-59.040,-3.600,1,b4w,24.000
Sun Mar 24 11:54:00 2024,0,91,[Range],29.700,-0.900,-59.040,0.000,1,b4w,70.000
Sun Mar 24 11:54:21 2024,0,89,[Range],68.500,0.100,-113.040,-1.440,1,b4w,5.000
Sun Mar 24 11:54:45 2024,0,110,[Range],69.300,2.400,-47.880,-1.800,0,b4w,37.000
Sun Mar 24 11:54:48 2024,0,110,[Range],29.900,0.700,-48.600,-3.240,0,b4w,55.000
Sun Mar 24 11:55:05 2024,0,94,[Range],29.200,-2.800,-63.360,0.000,1,b4w,3.000
Sun Mar 24 11:55:09 2024,0,98,[Range],69.300,0.100,-66.960,-3.240,1,b4w,2.000
Sun Mar 24 11:55:16 2024,0,95,[Range],29.300,-4.100,-47.880,0.000,1,b4w,2.000
Sun Mar 24 11:55:18 2024,0,115,[Range],69.900,-1.800,-66.240,0.000,1,b4w,1.000
Sun Mar 24 11:55:20 2024,0,115,[Range],29.600,-2.800,-66.600,-0.360,1,b4w,4.000
Sun Mar 24 11:55:24 2024,0,96,[Range],69.600,2.300,-95.400,0.000,0,b4w,5.000
Sun Mar 24 11:55:48 2024,0,100,[Range],69.500,-4.300,-43.920,-2.520,1,b4w,3.000
Sun Mar 24 11:55:50 2024,0,101,[Range],69.900,1.300,-64.080,-2.880,0,b4w,11.000
Sun Mar 24 11:55:53 2024,0,101,[Range],29.100,0.600,-64.080,-1.440,0,b4w,13.000
Sun Mar 24 11:55:56 2024,0,73,[Range],29.900,-3.400,-45.000,0.000,1,b4w,2.000
Sun Mar 24 11:56:06 2024,0,97,[Range],68.500,2.300,-119.520,0.000,0,b4w,4.000
Sun Mar 24 11:56:41 2024,0,114,[Range],69.800,3.000,-106.560,0.000,0,b4w,6.000
Sun Mar 24 11:56:46 2024,0,93,[Range],29.700,-3.300,-51.840,0.000,1,b4w,0.000
Sun Mar 24 11:56:55 2024,0,105,[Range],69.800,-0.800,-64.080,-3.240,1,b4w,25.000
Sun Mar 24 11:56:57 2024,0,105,[Range],29.700,-2.100,-64.440,-2.520,1,b4w,90.000
Sun Mar 24 11:56:58 2024,0,143,[Range],29.500,-2.500,-62.640,0.000,1,b4w,0.000
Sun Mar 24 11:57:11 2024,0,84,[Range],69.700,-1.000,-52.920,-1.440,1,b4w,23.000
Sun Mar 24 11:57:13 2024,0,102,[Range],69.700,1.100,-84.960,-3.960,0,b4w,5.000
Sun Mar 24 11:57:16 2024,0,120,[Range],29.300,-4.900,-50.400,0.000,1,b4w,1.000
Sun Mar 24 11:57:41 2024,0,109,[Range],69.600,-4.200,-41.760,0.000,1,b4w,0.000
Sun Mar 24 11:57:44 2024,0,109,[Range],29.900,-4.700,-44.280,0.000,1,b4w,1.000
Sun Mar 24 11:57:48 2024,0,124,[Range],69.300,-0.200,-83.880,-2.880,1,b4w,9.000
Sun Mar 24 11:58:05 2024,0,123,[Range],69.400,2.500,-52.560,-1.800,0,b4w,35.000
Sun Mar 24 11:58:08 2024,0,123,[Range],29.700,1.700,-53.280,0.000,0,b4w,35.000
Sun Mar 24 11:58:11 2024,0,126,[Range],69.000,0.000,-90.360,-0.360,1,b4w,4.000
Sun Mar 24 11:58:23 2024,0,92,[Range],69.100,2.100,-91.440,-0.360,0,b4w,6.000
Sun Mar 24 11:58:25 2024,0,127,[Range],29.400,-2.700,-49.680,0.000,1,b4w,7.000
Sun Mar 24 11:58:36 2024,0,134,[Range],69.700,1.600,-66.600,-3.600,0,b4w,3.000
Sun Mar 24 11:58:38 2024,0,134,[Range],29.400,0.500,-65.520,-1.440,0,b4w,5.000
Sun Mar 24 11:59:07 2024,0,116,[Range],69.700,0.000,-93.600,0.000,1,b4w,6.000
